1011	9535	
1012	8445	
1013	21635	
1014	535	
1015	14875	
1016	10950	
1017	12730	
1018	20495	
1019	18410	
1021	6940	
1022	2650	
1023	4610	
1024	13050	
1025	14880	
1026	515	
1027	435	
1028	565	
1031	5735	
1032	4985	
1033	11255	
1034	14035	
1035	9940	
1036	1545	
1037	135	
1041	30	
1042	15	
1043	50	
1045	115	
1046	30	
1047	35	
1051	13320	
1052	12840	
1053	15780	
1054	17165	
1055	20475	
1056	19390	
1057	17715	
1058	15515	
1059	6355	
1060	10285	
1061	13595	
1062	8390	
1063	12740	
1064	16245	
1065	11115	
1066	17785	
1067	18210	
1068	15745	
1069	25340	
1071	12880	
1072	13840	
1073	13450	
1074	8150	
1075	10600	
1076	10695	
1077	9815	
1078	14920	
1079	14060	
1081	5065	
1082	9815	
1083	6555	
1086	4065	
1087	16910	
1091	16025	
1092	8855	
1093	8940	
1094	12655	
1095	11140	
1096	2910	
1097	13545	
1098	15200	
1101	140	
1102	23135	
1103	13545	
1104	13215	
1105	140	
1106	18315	
1107	11490	
1108	3005	
1109	1490	
1111	13510	
1112	9595	
1113	3555	
1114	85	
1115	4750	
1117	5	
1118	35	
1119	20	
1121	9580	
1127	835	
1131	8905	
1132	13070	
1135	6995	
1141	9625	
1145	270	
1151	2640	
1153	320	
1154	115	
1156	1820	
1161	7605	
1165	2425	
1171	12105	
1175	835	
1181	19425	
1182	3825	
1183	13480	
1184	615	
1185	11045	
1186	13400	
1187	17540	
1188	7350	
1189	485	
1191	8460	
1211	9170	
1212	3310	
1213	6555	
1214	7450	
1215	10210	
1216	8805	
1217	7355	
1218	4125	
1221	8220	
1222	11060	
1223	10895	
1231	8480	
1241	6735	
1243	1245	
1244	1495	
1251	10505	
1252	350	
1261	9310	
1271	7890	
1272	6215	
1273	8730	
1274	6795	
1275	2105	
1276	7360	
1277	2215	
1309	50	
1311	4730	
1312	7140	
1313	4400	
1314	5860	
1315	3555	
1316	4195	
1317	4090	
1318	9645	
1319	5790	
1321	9880	
1323	6365	
1324	10295	
1325	10475	
1326	11525	
1328	10205	
1329	0	
1331	225	
1332	80	
1333	12455	
1334	1610	
1335	12235	
1336	8005	
1338	9845	
1339	11335	
1341	120	
1343	1155	
1349	165	
1351	1990	
1352	1630	
1353	4480	
1354	2870	
1355	2785	
1356	2725	
1357	3390	
1358	575	
1359	1575	
1361	130	
1362	0	
1363	9355	
1381	4970	
1382	9770	
1383	3605	
1391	7520	
1393	1530	
1394	5015	
1396	1370	
1398	3140	
1399	3110	
1401	4910	
1402	9380	
1403	9245	
1404	3275	
1405	2810	
1406	3255	
1411	9780	
1412	7425	
1421	5870	
1422	12870	
1423	5875	
1424	4115	
1426	905	
1427	965	
1428	110	
1431	11925	
1432	9945	
1433	9205	
1435	4005	
1436	505	
1437	60	
1438	175	
1441	13775	
1442	6840	
1443	7085	
1444	6675	
1445	9255	
1446	5145	
1447	12895	
1448	17940	
1451	410	
1452	1795	
1454	405	
1456	1810	
1458	175	
1461	2935	
1462	4605	
1463	600	
1464	755	
1471	785	
1472	690	
1473	825	
1474	3230	
1475	525	
1476	95	
1477	160	
1481	110	
1482	145	
1483	4015	
1484	850	
1485	90	
1486	680	
1487	255	
1488	205	
1489	180	
1501	6205	
1502	8150	
1503	10785	
1504	8215	
1505	6080	
1506	12515	
1507	12310	
1508	4590	
1509	6440	
1511	9185	
1521	11085	
1525	570	
1531	12480	
1534	530	
1536	315	
1541	11150	
1544	8760	
1546	745	
1551	4510	
1561	7985	
1562	9210	
1566	13010	
1567	9835	
1601	7345	
1602	11005	
1606	4360	
1607	1500	
1608	1385	
1609	105	
1611	10355	
1613	8985	
1614	2155	
1616	7880	
1617	1745	
1619	6485	
1621	5500	
1622	7830	
1623	2590	
1624	5355	
1625	9460	
1627	20	
1628	21135	
1631	445	
1633	3535	
1634	425	
1636	1285	
1641	945	
1642	45	
1643	475	
1645	2880	
1646	75	
1647	2520	
1648	3115	
1652	525	
1654	735	
1655	930	
1657	2130	
1658	190	
1661	425	
1662	330	
1663	115	
1671	8590	
1674	1940	
1676	1005	
1678	905	
1679	2335	
1681	260	
1682	190	
1683	200	
1684	465	
1685	465	
1686	120	
1687	5690	
1688	2470	
1689	15700	
1691	665	
1692	30	
1693	7735	
1695	4295	
1696	1490	
1697	835	
1701	8410	
1702	8390	
1703	12530	
1704	7205	
1705	16620	
1706	385	
1711	1615	
1713	5900	
1715	3725	
1716	2265	
1718	3950	
1719	495	
1721	5445	
1722	6115	
1723	5385	
1724	4040	
1731	3405	
1732	750	
1733	3310	
1734	420	
1735	2035	
1736	400	
1738	2525	
1741	12000	
1742	6605	
1744	1850	
1746	1695	
1747	3790	
1749	6175	
1751	2050	
1752	770	
1753	615	
1754	795	
1755	1675	
1756	2395	
1757	750	
1759	2445	
1761	8055	
1764	3735	
1766	2330	
1767	975	
1768	930	
1769	180	
1771	6075	
1773	585	
1774	2100	
1775	3795	
1777	5175	
1778	905	
1779	2390	
1781	8995	
1782	11145	
1783	2970	
1784	9010	
1785	9315	
1786	185	
1787	2125	
1788	12270	
1789	465	
1791	7055	
1792	1350	
1793	390	
1794	1285	
1795	1210	
1796	1295	
1797	995	
1811	4730	
1812	225	
1813	8085	
1814	9365	
1815	7105	
1816	8720	
1817	3505	
1821	1450	
1822	4285	
1823	6725	
1824	7515	
1825	9365	
1826	6535	
1827	10995	
1829	4060	
1831	2565	
1832	235	
1834	6060	
1841	1905	
1842	630	
1843	715	
1844	225	
1846	405	
1847	220	
1851	12370	
1852	10035	
1853	150	
1861	6255	
1862	5915	
1865	440	
1871	4690	
1873	1580	
1901	13830	
1902	8595	
1906	6850	
1911	13290	
1921	4910	
1931	4685	
1934	3790	
1935	2635	
1941	3245	
1942	2335	
1943	4930	
1944	7035	
1945	6590	
1946	4420	
1947	3545	
1948	5990	
1949	2090	
1951	5160	
1961	1020	
1962	7570	
1963	5640	
1964	7165	
1965	6230	
1966	4795	
1967	5255	
1968	345	
1969	1125	
1971	8720	
1972	8095	
1973	5635	
1974	6095	
1975	2310	
1976	300	
1981	1945	
1985	3055	
1991	13580	
1992	2150	
2011	13230	
2012	12595	
2013	8220	
2014	7380	
2015	5490	
2019	145	
2021	9035	
2022	8780	
2023	12750	
2024	8940	
2025	9785	
2026	5620	
2031	1620	
2032	7775	
2033	12305	
2034	10005	
2035	6610	
2036	7630	
2037	8145	
2041	7585	
2042	8150	
2051	4170	
2061	6440	
2063	600	
2064	2790	
2065	340	
2071	6835	
2082	3235	
2101	7225	
2102	5015	
2103	3480	
2104	3835	
2105	3815	
2106	3110	
2111	4360	
2114	2225	
2116	955	
2121	5060	
2131	10495	
2132	11575	
2133	7925	
2134	28410	
2135	14890	
